date,javascript,sql,java,c#,php,python,c++,c,nodejs,ruby,objective-c
8/21/16,15484,0,5296,2834,4027,32707,8427,26273,0,19414,6308
6/19/16,18489,0,6277,4250,3994,30625,15057,25575,0,14553,10413
3/1/16,119624,2,41451,26944,23228,181761,86540,129316,0,82338,66747
10/24/16,54911,0,25933,14070,16381,72593,37128,53102,0,42582,30368
8/23/16,55241,0,24987,13674,13186,105372,44319,81643,0,48855,36564
4/25/16,64611,0,27388,17134,18190,86148,45571,58643,0,38875,34028
4/26/16,65842,0,26878,15816,18031,103524,50030,73859,0,46865,39199
11/23/16,71916,0,33743,18422,15556,100322,52073,74391,0,52264,38047
1/1/16,31274,0,11575,4536,8058,32808,19301,22048,0,17205,13585
9/1/16,49686,0,23133,16027,11642,95469,49971,76041,0,44678,39645
12/16/16,57804,0,29430,10262,13189,83540,42366,61925,0,47600,32396
10/18/16,52555,0,27847,14720,15003,83279,42549,66474,0,50946,34992
10/28/16,53009,0,28934,13289,16027,89906,49654,73925,0,44422,42064
6/23/16,58897,0,27981,18809,15150,99823,51875,74684,0,46195,43103
9/8/16,49502,0,23298,12368,13008,77508,40491,59443,0,38073,33097
10/15/16,22731,0,9166,6945,6388,44657,17091,37710,0,27762,12363
2/24/16,119361,0,41254,23994,24848,176309,80366,129879,0,94814,65390
11/13/16,26417,0,8453,12829,5809,27461,21568,17145,0,14421,9481
7/24/16,15931,0,4716,4708,5540,24018,15425,17807,0,11982,12088
12/11/16,27841,0,9264,5615,6428,31585,14928,21479,0,16259,10227
11/30/16,78365,0,35518,17390,17982,113523,58035,84036,0,56626,43755
9/4/16,12427,0,4208,2469,2777,18265,7578,12498,0,9132,5985
7/5/16,32678,0,11699,8537,5688,51795,30513,40225,0,22215,24351
11/14/16,69493,0,29333,14626,14960,94927,50687,71375,0,53031,39472
2/14/16,45930,0,18837,7026,10132,80582,43500,59972,0,29588,35335
10/5/16,55344,0,21854,11476,12753,79245,35838,61619,0,49861,28961
8/16/16,52446,0,26355,9396,14312,82753,36265,60496,0,45824,29435
8/12/16,52157,0,24584,11239,14441,96427,42656,74372,0,47292,36539
2/1/16,107762,1,36659,20218,22157,132000,56126,87969,0,69171,46241
6/13/16,45463,0,22570,12648,12609,85668,39616,67404,0,40979,31463
2/17/16,115995,0,42510,21909,32330,171713,84867,119272,0,86022,69279
12/15/16,68365,0,30305,12714,15679,97955,47338,69499,0,56490,36239
4/24/16,34956,0,8804,5513,5896,26074,13227,18555,0,15133,9036
8/31/16,57235,0,25117,14612,12890,88349,45684,64929,0,37911,37484
3/15/16,76995,0,39882,23379,16048,149976,95349,119778,0,58366,81827
1/20/16,118683,0,40589,28866,24130,188788,105605,140229,0,88594,90740
9/9/16,51082,0,27842,11994,13850,85403,42511,65416,0,43479,35993
2/4/16,117763,2,44080,23692,25596,151569,64217,100262,0,78765,47202
7/13/16,54496,0,26392,14346,13484,86273,43062,66757,0,51485,33389
6/14/16,60084,0,29598,13721,14158,95581,47562,75863,0,44785,37168
10/22/16,25511,0,12359,5322,6824,42448,19669,34606,0,21877,16055
8/19/16,51942,0,24309,10249,12660,108764,44544,85361,0,52631,36668
7/9/16,20897,0,7789,3713,4748,31709,12330,21151,0,15356,9348
2/13/16,54212,0,20692,11630,12673,72293,33668,48458,0,38033,23609
10/1/16,22014,0,7083,4160,4925,30185,12130,22587,0,17412,9137
11/28/16,64863,0,29545,13699,14565,93741,46259,67110,0,49811,37202
2/18/16,124831,0,48980,27875,22922,177171,89177,123143,0,89577,74999
3/31/16,78359,0,27842,23032,16667,98547,55345,73780,0,51117,43395
7/14/16,50384,0,24965,15470,13727,90572,53715,67043,0,39698,43145
1/30/16,60188,3,20821,15190,13955,101671,40240,73549,0,45913,28892
8/27/16,24841,0,10187,4422,7312,33220,14711,23671,0,16557,11711
10/26/16,56825,0,25721,15525,15781,92517,46716,73339,0,48284,38559
1/2/16,42136,0,15505,6789,10350,48508,24342,27985,0,20575,17228
8/14/16,23823,0,4971,1803,4713,22406,11750,15594,0,10114,8200
10/3/16,49004,0,20285,10875,16063,71340,42456,55984,0,33512,37301
11/25/16,29445,0,9358,6601,6038,27662,19285,20429,0,12005,14577
1/3/16,50663,0,18503,5930,11629,58660,36951,39982,0,363866,29365
1/7/16,110343,0,46305,21757,24336,153396,77923,106404,0,73502,63538
10/19/16,59633,0,30445,15250,18387,91959,45740,69615,0,52353,37157
12/2/16,71842,0,36557,11199,17540,104361,50637,73824,0,56897,41149
12/8/16,76724,0,37190,14034,19212,122571,51917,92196,0,68261,40223
10/31/16,53321,0,29123,11674,13460,78963,44879,63206,0,44535,38965
5/31/16,56832,0,23315,13072,18576,92145,46751,68016,0,42853,36629
8/5/16,53207,0,22178,10917,12687,80161,31009,57014,0,41895,23115
9/12/16,47794,0,20752,8644,10193,78266,31026,57522,0,40879,25362
2/11/16,121698,3,48309,26603,27646,176040,81375,119622,0,82445,65382
11/21/16,71636,0,27297,14502,14008,93283,47424,67447,0,54060,35264
6/30/16,58115,0,26706,14016,16081,85471,47287,67368,0,41337,37541
12/26/16,16496,0,5143,2445,3753,16875,8158,9517,0,9540,4843
11/10/16,73082,0,31086,19414,16994,115288,55237,85160,0,54649,43699
12/30/16,34328,0,12320,5627,7855,32054,16939,19012,0,19590,10152
11/22/16,77190,0,35552,17608,16838,96700,47667,68048,0,50726,34953
11/29/16,78878,0,35522,17899,20084,111647,58829,79854,0,56646,46710
10/23/16,25858,0,8246,3659,4440,23875,13004,16974,0,14288,9973
1/23/16,55563,0,21712,12480,13845,72325,40719,53036,0,34437,33718
9/19/16,51509,0,19242,12680,12026,69701,35125,44038,0,35379,27698
1/18/16,77718,0,27432,10473,13736,81835,33509,51141,0,46265,26169
3/5/16,53070,0,18346,11418,10135,100087,39850,73133,0,46220,30251
9/20/16,59222,0,23317,14061,16336,87645,34296,58353,0,45634,25876
